编号,优先级,实施批次,领域,优化项,当前成熟度,现状与依据,建议方案,预期收益,建议验收指标（非当前实绩）,最小验收范围,前置项,实施规模（粗估）,保护与回退边界,建议负责角色,依据,实施状态,实现入口,聚焦验收,生产状态
OPT-001,P0,第一批：可控发布,工作流程,限定单次变更和交付范围,已发生范围扩展,38条审批已完成后继续处理提炼失败与多轮发布，审批完成时间被后续排障掩盖。,每次执行绑定明确对象、动作和完成条件。审批、数据修复、功能开发和发布分别记录结果，额外问题进入待办；明确暂停后只保留必要安全收尾。,避免小任务扩成持续部署；让用户及时获得已完成结果。,单次作业都有完成条件；新增对象或阶段有明确授权依据；审批成功不因后续提炼失败而改记为失败。,一个审批成功且下游失败的流程；一个用户中途要求只分析的流程。,无,小（流程与入口）,不增加重复确认；复用已有明确授权，不把“全部批准”扩展到未来候选。,产品负责人、研发负责人,项目记录2026-09-11；VAW-FOCUSED-VALIDATION-001；SAFE-EFFICIENT-EXECUTION-001,已完成；本地影响验收与生产部署完成,scripts/lib/release-operation.mjs; docs/architecture/2026-09-11-maintainability-and-fast-release.md,src/test/release-operation.test.ts; src/test/release-impact-deploy.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-002,P0,第一批：可控发布,发布控制,统一取消信号和安全收尾,缺少完整接线,底层支持AbortSignal，新协调器未传入；外层退出不保证独立子进程组退出。,统一cancel入口，将取消传播到当前受管子进程。区分路由提交前和提交后：提交前停止新动作，提交后记录事实并按预先约定的恢复策略收尾。,用户能可靠停止发布；减少人工定位PID和临时终止操作。,取消后不再启动下一变更步骤；自有子进程全部收束；锁和准入有明确最终状态；已切换事实不被掩盖。,准备期、暂停接单后、路由提交后三个取消场景。,OPT-001,中（协调器与子进程）,只终止作业拥有的进程；不随取消盲目回滚或恢复他人暂停的入口。,发布工具负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs#L472 ; https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/legacy-release-runner.mjs#L141,已完成；本地影响验收与生产部署完成,scripts/lib/release-operation.mjs; scripts/release-impact-deploy.mjs; scripts/legacy-release-runner.mjs,src/test/release-operation.test.ts; src/test/release-impact-deploy.test.ts; src/test/legacy-release-runner.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-003,P0,第一批：可控发布,发布控制,区分路由已切换与验收完成,现有状态反馈滞后,底层已写入路由后仍执行完整检查，外层要等子命令返回才记录switched。,以路由generation及实际release为运行事实。在提交点立即持久记录并输出route_committed；后续验证独立记录verified或verification_failed。,消除“还在等待所以没有切换”的误判。,状态查询返回实际路由版本、提交时间、验证阶段；提交后中断仍能识别已切换。,在提交后、最终校验前中断一次，重读持久状态。,OPT-002,中（状态与控制台）,复用现有router-state与准入revision，不新建第二个路由权威。,发布工具负责人、后端负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/deploy-blue-green.sh#L3919 ; https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs#L343,已完成；本地影响验收与生产部署完成,scripts/release-impact-deploy.mjs; scripts/lib/release-operation.mjs,src/test/release-impact-deploy.test.ts; src/test/release-operation.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-004,P0,第一批：可控发布,流式连接,修正异常断流后的活动计数,现象已证实；具体事件待复现,旧进程退出后活动计数仍为1；代码仅在outgoing close/finish结算，后端响应异常结束缺少显式处理。,先隔离复现后端发出响应头后断开、客户端中止等路径；统一双方连接清理并保证每个请求只结算一次。,避免连接计数残留长期阻塞退役。,故障注入后计数最终归零；不出现负数或双重扣减；正常长连接仍可持续。,后端中途断开、客户端取消、正常结束及一个WebSocket回归。,无,中（路由连接生命周期）,不能直接清零计数掩盖真实连接；保留合法任务和回调归属。,后端负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/standalone-router.mjs#L259,已完成；本地影响验收与生产部署完成,scripts/standalone-router.mjs,src/test/standalone-blue-green.test.ts,已部署；路由异常计数路径修复，旧绿槽已生成退役证明并停止
OPT-005,P0,第一批：可控发布,服务生命周期,统一排空、退役和停止顺序,契约存在；操作入口易误用,直接stop旧槽后，正式retire因无法取得在线排空证据而失败。,常规发布只能走排空、冻结回调、静默确认、退役证明、停止的统一入口。区分存活、已认证退役、已停止但证据不足三种恢复状态。,减少反复停启和人工拼接恢复命令。,正常退役只停止一次；已认证退役可复用证明；无证明的死进程返回具体缺口，不循环重启。,三个生命周期状态各一例，加一个旧任务仍在运行的拒绝场景。,OPT-004,中（退役与服务管理）,不能为了让检查通过先杀进程；存活任务、回调及必要恢复点受到保护。,发布工具负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/deploy-blue-green.sh#L3325,已完成；本地影响验收与生产部署完成,scripts/deploy-blue-green.sh; scripts/release-impact-deploy.mjs,src/test/standalone-blue-green.test.ts; src/test/release-impact-deploy.test.ts,已部署；路由异常计数路径修复，旧绿槽已生成退役证明并停止
OPT-006,P0,第一批：可控发布,接口契约,提前验证真实子命令参数,漏传已修；预检仍需补齐,retire遗漏运行证明，在生产暂停后才报arguments_invalid；操作顺序模拟测试没有验证参数。,统一生成retire、switch、attest参数及环境；暂停前校验必需字段。用真实参数解析器测试构造结果，不执行生产写入。,把接线错误前移到本地，减少失败发布。,缺证明、错scope、错路径在暂停前拒绝；实际构造命令符合解析器；不泄露私密参数。,三个真实命令的参数及环境合同；缺参和错误归属反例。,OPT-003,小（命令构造与测试）,不绕过证明检查；不把本项扩大为整套安装与恢复测试。,发布工具负责人、测试负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs#L805 ; https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/test/release-impact-deploy.test.ts#L81,已完成；本地影响验收与生产部署完成,scripts/lib/release-operation.mjs; scripts/deploy-blue-green.sh,src/test/release-operation.test.ts; src/test/release-impact-deploy.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-007,P0,第一批：可控发布,故障诊断,分离错误原因、步骤和可重试性,现有错误映射过粗,参数缺失被上层归纳为组件或投影不兼容；只看外层退出码不能直接定位。,统一脱敏错误结构，保留phase、errorCode、effectState和retryable。区分参数错误、网络故障、版本冲突和未知写入结果。,减少盲重试，缩短定位时间。,缺参不再显示数据损坏；网络错误可识别执行节点；写入结果未知必须先回读。,缺参、读取断网、版本冲突和写后响应丢失四类样例。,OPT-006,小（共享错误映射）,日志只保留错误码和脱敏关联标识，不能输出凭据、用户对话或原始数据库内容。,后端负责人、运维负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs#L472,已完成；本地影响验收与生产部署完成,scripts/lib/release-operation.mjs,src/test/release-operation.test.ts; src/test/release-impact-deploy.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-008,P1,第二批：缩短发布,发布控制,从已完成步骤安全续行,只具备部分幂等复用,已有制品能够复用，但失败后仍反复生成计划、读取相同证明和备份。,沿现有发布作业保存每步输入摘要、完成回执和副作用边界；resume先对照真实状态，再只执行未完成步骤。,将失败恢复从整轮重跑收敛为局部续行。,同一作业续行不重复安装、备份或审批；已变更外部状态时明确拒绝旧回执。,暂存后、绑定后、切换后三处中断与续行。,OPT-002;OPT-003;OPT-007,大（发布状态与恢复）,复用共享锁和现有权威状态；对未知结果先读回，不新建业务任务队列。,发布工具负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs#L285,已完成；本地影响验收与生产部署完成,scripts/lib/release-operation.mjs; scripts/release-impact-deploy.mjs,src/test/release-operation.test.ts; src/test/release-impact-deploy.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-009,P1,第二批：缩短发布,制品管理,复用不可变制品的完整校验证据,重复完整审计已确认,plan、stage源、复制目录、发布目录和后续操作多次遍历同一制品。,完整验证集中在制品形成与目标落盘边界；后续步骤绑定同一不可变制品证据。字节、权限、依赖、来源或环境变更才使证据失效。,减少大目录重复读取与摘要计算。,同一制品同一落盘边界无重复完整扫描；篡改字节、权限或链接必须使证据失效。,同制品复用、单文件篡改、权限漂移和链接变化。,OPT-003;OPT-008,大（制品证明与控制器）,不能只比较mtime或提交号跳过完整性；源标记、密钥和数据库仍禁止进入制品。,发布工具负责人、安全负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/deploy-blue-green.sh#L921 ; https://sre.google/sre-book/release-engineering/,已完成；本地影响验收与生产部署完成,scripts/check-standalone-artifact.mjs; scripts/deploy-blue-green.sh,src/test/release-verification-bundle.test.ts; src/test/standalone-blue-green.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-010,P1,第二批：缩短发布,源码管理,批量完成源码闭包检查,每步骤重复子进程开销已确认,每个blue-green命令重新校验38个关键文件，多次启动Node、Git及摘要进程。,用单个受管进程批量读取提交树和关键文件摘要；同一发布作业复用相同闭包证据，步骤边界复核来源及变更迹象。,降低进程启动及重复Git读取开销。,每个关键文件同一验证轮只计算一次；脏工作区、提交漂移和文件替换仍被拒绝；输出检查计数与耗时。,干净提交、单文件变化、错误仓库和验证期间变更。,OPT-009,中（源码验证模块）,保留HEAD绑定、源文件权限及真实仓库身份，不能信任任意缓存标志。,发布工具负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/deploy-blue-green.sh#L292,已完成；本地影响验收与生产部署完成,scripts/lib/git-source-layout.mjs; scripts/deploy-blue-green.sh,src/test/git-source-layout.test.ts; src/test/standalone-blue-green.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
