序号,开始日期,结束日期,阶段,关键任务,目标结果,依赖/前提,优先级,备注
1,2026-04-24,2026-04-25,第1周,盘点当前基线配置,确认 OpenClaw/微信/Ollama/Memory 当前状态可用,远端 heisenberg 可连接,P0,先形成一份可复现基线
2,2026-04-24,2026-04-26,第1周,整理运维入口与命令清单,沉淀 SSH/OpenClaw/Ollama/微信常用命令,现有文档和远端环境已可访问,P0,避免后续多人操作混乱
3,2026-04-25,2026-04-27,第1周,固化 Gateway 启动方式,明确前台运行或可替代的稳定启动方案,当前 Gateway 可正常启动,P0,重点规避 macOS TCC/EPERM
4,2026-04-25,2026-04-28,第1周,验证微信到 OpenClaw 主链路,确保扫码登录、收消息、回复、会话切换稳定,微信插件可用,P0,先保稳定再扩能力
5,2026-04-26,2026-04-29,第1周,整理记忆文件结构,统一 MEMORY.md 与 memory/YYYY-MM-DD.md 的写法和边界,当前 memory 检索已可用,P1,减少脏记忆和重复索引
6,2026-04-28,2026-05-01,第2周,补齐本地模型路由策略,明确云端主模型与本地 embedding 的默认分工,ollama 和 nomic-embed-text 已可用,P0,形成固定模型使用规则
7,2026-04-29,2026-05-02,第2周,增加模型切换与故障回退预案,出现 OpenAI 配额或网络异常时可快速切换,当前主模型和本地 memory 已稳定,P1,至少保留一条备用路径
8,2026-04-30,2026-05-03,第2周,评估第二台节点角色,明确 Node-2 是否承担本地推理或备份 Gateway,已有 Node-1 运行经验,P1,为扩容到 4 台做准备
9,2026-05-01,2026-05-05,第2周,加固访问控制方案,确定公网不直出和统一登录边界,现有服务已基本稳定,P0,优先控制暴露面
10,2026-05-03,2026-05-07,第3周,建立日志与告警检查流程,能快速定位 Gateway/微信/Ollama 异常,核心链路已跑通,P1,先做轻量巡检即可
11,2026-05-04,2026-05-08,第3周,梳理团队使用流程,定义用户如何通过微信下达任务和查看结果,微信链路稳定,P1,重点提升执行准确率
12,2026-05-05,2026-05-09,第3周,准备多人使用隔离方案,明确按团队/租户拆 Agent 或网关的方式,认证边界初步明确,P1,先做方案不急着全量上线
13,2026-05-07,2026-05-11,第3周,扩展第二台或第三台节点试运行,验证节点分工和网络连通性,新增设备到位,P1,优先验证最小集群形态
14,2026-05-09,2026-05-13,第4周,进行一轮真实业务压测,验证多人并发、微信回复、记忆检索、模型调用稳定性,至少两类真实场景可复现,P0,以真实任务代替纯技术测试
15,2026-05-11,2026-05-16,第4周,修正瓶颈与失败点,针对压测暴露的问题做定向修复,已有压测结果,P0,重点处理稳定性和恢复能力
16,2026-05-14,2026-05-20,第4周,输出月末可交付版本,形成可持续运维的 OpenClaw 混合部署版本,前面关键项已基本收敛,P0,目标是可稳定给他人使用
